NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
0,0.0822,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
0,0.2152,0.4076,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
0,0.3614,0.52,0.8634,NaN,NaN,NaN,NaN,,,,,,,,,,
0.0002,0.156,0.0234,0.0108,0.0498,NaN,NaN,NaN,,,,,,,,,,
0.82,0,0,0,0,0.0078,NaN,NaN,,,,,,,,,,
0.0702,0,0.0002,0,0,0,0.0014,NaN,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0014,0.0078,0.0108,0.0234
0.017857143,0.018518519,0.019230769,0.02,0.020833333,0.02173913,0.022727273,0.023809524,0.025,0.026315789,0.027777778,0.029411765,0.03125,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.017857143,0.018518519,0.019230769,0.02,0.020833333,0.02173913,0.022727273,0.023809524,0.025,0.026315789,0.027777778,0.029411765,0.03125,0.033333333,0.035714286,0.038461538,0.041666667,0.045454545
