ipRGC=0.2,,目標,,,設定値,,,,実測値,,,輝度(cd),,,,,,,,,,,,,,,,,,,,,,,
,,x,y,,Y,x,y,,x,y,,,,チャンネル,,,,,,,,,,,,,,,,,,,,,
,45deg,0.403134562,0.384787996,,0.2,0.34,0.385,,0.404,0.3798,,202.3,,0.162887828,0.138815248,0.174966928,0.169102365,0.174007686,0.049409458,0.072460815,0.198141807,0.356002646,0.43560035,0.238204873,0.284868018,0.069894652,0.18392366,0.162639859,0.307846783,0.225359051,0.327119856,0.452971653,0.418502302,0.359370944,0.276499496
,90deg,0.371421694,0.437642611,,0.2,0.308,0.441,,0.3644,0.4433,,180.9,,0.074821609,0.05660006,0.115487879,0.10895671,0.14077234,0.020839167,0.026638057,0.114076836,0.756592676,0.476840438,0.207515678,0.249647838,0.037118119,0.099522475,0.098165386,0.17868116,0.093088144,0.239956493,0.246921276,0.278779229,0.216785567,0.171177193
,135deg,0.296903991,0.422054416,,0.2,0.243,0.417,,0.3029,0.4213,,156,,0.085114073,0.068950365,0.171182171,0.077641225,0.2216977,0.02103779,0.03222499,0.124654913,0.587443034,0.594329285,0.180094683,0.220999748,0.028463712,0.06998787,0.068452338,0.091540617,0.073368994,0.077760213,0.103957816,0.115187177,0.111234919,0.105649607
,180deg,0.240576149,0.351438479,,0.2,0.09,0.38,,0.253,0.3478,,128,,0.070666569,0.042956019,0.192233904,0.188124177,0.33746511,0.02226413,0.03883271,0.162189794,0.396519587,0.521326618,0.138263254,0.256407027,0.023660358,0.052871234,0.030513079,0.043658698,0.043699554,0.032376431,0.051919676,0.064460399,0.063912844,0.06913835
,225deg,0.235963079,0.284112151,,0.2,0.18,0.2647,,0.2397,0.2802,,110.6,,0.072618091,0.056006348,0.194987119,0.271592824,0.481045178,0.019265528,0.034917009,0.138543185,0.359413253,0.400344086,0.144086943,0.14609742,0.023206449,0.051697107,0.035963688,0.048052476,0.047833256,0.03672105,0.055681137,0.069742992,0.063088605,0.065234273
,270deg,0.271685785,0.252993567,,0.2,0.22,0.235,,0.2693,0.2487,,110,,0.072803879,0.054673183,0.262482589,0.267185842,0.563640189,0.02020686,0.034212773,0.201629344,0.247712009,0.245375796,0.145046262,0.166731227,0.02926155,0.077154444,0.062046176,0.103317533,0.095285812,0.101315871,0.152997287,0.161659109,0.132463886,0.1131049
,315deg,0.326303091,0.263806814,,0.2,0.277,0.2485,,0.328,0.2667,,134.3,,0.074035523,0.053378575,0.239917973,0.272270039,0.55198701,0.020571644,0.034270464,0.142968089,0.314664343,0.324383228,0.10687927,0.131506488,0.033799627,0.113710154,0.111823041,0.249898759,0.117013889,0.287686033,0.375605295,0.295828167,0.271694407,0.192585272
,360deg,0.379012839,0.312808132,,0.2,0.322,0.2991,,0.3763,0.313,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.373,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.3302,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.243,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.07,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.2,0.2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.247,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.3045,0.2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.354,0.2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
